127.0.0.1 - - [23/Jul/2015:08:02:47 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:02:55 +0800] "GET /dsgqxxw/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:02:55 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:02:58 +0800] "GET /dsgqxxw/JSP/index.jsp HTTP/1.1" 200 4753
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:02:58 +0800] "GET /dsgqxxw/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:02:58 +0800] "GET /dsgqxxw/html/calender.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:02:58 +0800] "GET /dsgqxxw/images/menu.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:02:58 +0800] "GET /dsgqxxw/images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:02:58 +0800] "GET /dsgqxxw/images/pcard1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:02:58 +0800] "GET /dsgqxxw/images/leftS.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:02:59 +0800] "GET /dsgqxxw/JSP/recommendInfo.html HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:02:59 +0800] "GET /dsgqxxw/images/leftD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:01 +0800] "GET /dsgqxxw/JSP/login.jsp HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:02 +0800] "GET /dsgqxxw/images/logon_top.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:02 +0800] "GET /dsgqxxw/images/logon_end.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:02 +0800] "GET /dsgqxxw/images/logon_middle.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:06 +0800] "POST /dsgqxxw/loginAction HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:06 +0800] "GET /dsgqxxw/JSP/admin.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:06 +0800] "GET /dsgqxxw/images/admin_index.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:06 +0800] "GET /dsgqxxw/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:06 +0800] "GET /dsgqxxw/images/admin_exit.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:06 +0800] "GET /dsgqxxw/html/admin_welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:06 +0800] "GET /dsgqxxw/images/admin_top.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:09 +0800] "GET /dsgqxxw/queryIdUserAction?enteruserid=&searchuser=%E6%9F%A5%E8%AF%A2 HTTP/1.1" 200 5167
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:13 +0800] "GET /dsgqxxw/JSP/admin_modify_user.jsp?&userid=1 HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:19 +0800] "GET /dsgqxxw/JSP/admin.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:19 +0800] "GET /dsgqxxw/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:19 +0800] "GET /dsgqxxw/images/admin_index.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:19 +0800] "GET /dsgqxxw/images/admin_exit.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:19 +0800] "GET /dsgqxxw/html/admin_welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:19 +0800] "GET /dsgqxxw/html/calender.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:19 +0800] "GET /dsgqxxw/images/leftD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:03:19 +0800] "GET /dsgqxxw/images/my_logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:33 +0800] "GET /dsgqxxw/JSP/admin.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:33 +0800] "GET /dsgqxxw/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:33 +0800] "GET /dsgqxxw/images/admin_index.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:33 +0800] "GET /dsgqxxw/images/admin_exit.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:33 +0800] "GET /dsgqxxw/html/admin_welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:33 +0800] "GET /dsgqxxw/html/calender.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:33 +0800] "GET /dsgqxxw/images/leftD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/JSP/admin.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/images/admin_index.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/images/admin_exit.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/html/admin_welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/html/calender.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/images/leftD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/JSP/admin.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/images/admin_index.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/images/admin_exit.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/html/admin_welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/html/calender.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/images/leftD.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/JSP/admin.jsp HTTP/1.1" 200 5872
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/images/admin_index.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/images/admin_exit.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/html/admin_welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/html/calender.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2015:08:04:34 +0800] "GET /dsgqxxw/images/leftD.jpg HTTP/1.1" 304 -
